customer_id,business_name,business_type,city,zone_id,account_age_days,joining_date,monthly_order_volume,avg_order_value_inr,preferred_vehicle_type,payment_mode,complaint_rate,churn_risk_score,ltv_inr,peak_hours,peak_days
e4453a05-71dd-4d85-8af9-1897ad8adf21,Singh Fabricators,manufacturer,bangalore,blr_yeshwanthpur,65,2026-01-18,14,31421.44,truck_17ft,upi,0.0364,0.3439,531531.88,7|8|9|10,0|1|2|3|4
c2458801-20bb-4f9f-ac1c-46aa0b3f51cc,Iyer Kitchen,restaurant,bangalore,blr_indiranagar,1613,2021-10-23,91,1272.31,two_wheeler,cash,0.0611,0.0216,5177030.82,10|11|12|13|18|19|20|21,4|5|6
f596a6dd-343b-4c51-8d28-35c4288bf843,New Desai Electronics,electronics,bangalore,blr_whitefield,89,2025-12-25,26,31641.96,mini_truck,credit,0.1574,0.4888,1060512.83,10|11|14|15|16,0|1|2|3|4
ad767ddb-a317-47f7-9881-f75cad377f64,Bansal Traders,ecommerce_seller,bangalore,blr_jayanagar,1361,2022-07-02,130,2554.91,three_wheeler,upi,0.0515,0.1701,10629647.63,9|10|11|14|15,0|1|2
24b216a8-9643-4335-bd8f-b621a5591015,Kulkarni General Stores,retail_shop,bangalore,blr_hsr,541,2024-09-29,33,3243.36,three_wheeler,credit,0.118,0.0355,1582311.5,9|10|11|14|15|16,5|6
46a1139e-42ef-4e13-bff7-a38500d5632c,Gowda Medical Distributors,pharma_distributor,bangalore,blr_marathahalli,255,2025-07-12,16,7263.48,mini_truck,credit,0.0342,0.1514,712519.86,7|8|9,0|1|2|3|4
07182184-aa7a-4282-a397-69f02fb248f4,Sharma General Stores,retail_shop,bangalore,blr_rajajinagar,916,2023-09-20,65,7165.99,three_wheeler,credit,0.0608,0.2183,9449757.0,9|10|11|14|15|16,5|6
9054a02a-ae1d-4c0e-ab8f-1714685ae7ed,New Rao Cloth House,textile,bangalore,blr_electronic_city,1711,2021-07-17,33,8974.05,truck_14ft,upi,0.0167,0.0648,13426937.89,9|10|11|14|15,0|1|2|3|4
0e3fe29b-8ac2-4ae0-ab14-b3268322b95d,Sri Reddy Foods,restaurant,bangalore,blr_btm,1788,2021-05-01,52,1208.4,three_wheeler,credit,0.2969,0.3493,2071222.56,10|11|12|13|18|19|20|21,4|5|6
01de6fea-6600-42f6-bb3a-d11e80753fd4,Patil Healthcare,pharma_distributor,bangalore,blr_rajajinagar,1657,2021-09-09,22,9210.75,three_wheeler,credit,0.0678,0.0957,8603291.67,7|8|9,0|1|2|3|4
